target_id	Unnamed: 0	WT1	WT2	WT3	Treat1	Treat2	Treat3	Treat4	Treat5	Treat6
ENSMUST00000177564.1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUST00000196221.1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUST00000179664.1	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUST00000178537.1	3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUST00000178862.1	4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
